ID,key_json,value_json
67,66,"140.213.9.85 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn/cur/WAX23578?consignmentId=4GGXZC7M&referenceType=64&detail=1 HTTP/1.1"" 200 3741 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.921 uct=""0.000"" uht=""0.919"" urt=""0.921"" gz=""5.68"""
68,67,"112.215.170.158 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=NRJR8P82&referenceType=32 HTTP/1.1"" 200 635 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.895 uct=""0.000"" uht=""0.895"" urt=""0.895"" gz=""2.20"""
69,68,"114.124.237.134 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22001 HTTP/1.1"" 200 150 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.402 uct=""0.001"" uht=""0.402"" urt=""0.402"" gz=""1.68"""
70,69,"36.81.15.33 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/dash/mon/pic/WAX24357/LDL?day=7 HTTP/1.1"" 200 819 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.891 uct=""0.000"" uht=""0.891"" urt=""0.891"" gz=""5.60"""
71,70,"112.215.235.201 - - [04/Aug/2021:13:33:48 +0700] ""POST /a/3pl/trn/dnr HTTP/1.1"" 200 425 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.425 uct=""0.001"" uht=""0.086"" urt=""0.086"" gz=""1.95"""
72,71,"112.215.65.43 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX22190 HTTP/1.1"" 200 544 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.023 uct=""0.000"" uht=""0.022"" urt=""0.023"" gz=""3.51"""
73,72,"120.188.38.118 - - [04/Aug/2021:13:33:48 +0700] ""POST /a/3pl/trn/ldl HTTP/1.1"" 200 436 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=3.489 uct=""0.000"" uht=""0.081"" urt=""0.081"" gz=""1.89"""
74,73,"114.124.130.24 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/dash/kpi/courier/WAX23254 HTTP/1.1"" 200 161 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.415 uct=""0.000"" uht=""0.416"" urt=""0.416"" gz=""1.60"""
75,74,"112.215.65.43 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/query/drpGetConsignorByLogin?login=WAX22190 HTTP/1.1"" 200 395 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.030 uct=""0.000"" uht=""0.031"" urt=""0.031"" gz=""2.99"""
76,75,"114.124.136.224 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/csn?id=KJZ6MXJ1&detail=1 HTTP/1.1"" 200 3045 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.767 uct=""0.001"" uht=""0.760"" urt=""0.768"" gz=""9.45"""
77,76,"140.213.33.216 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/csn?id=Lce9rfjn&register=0&location=KBH&latitude=-6.2730666&longitude=106.6960071&reference=TML%2FWAX23208%40KBH HTTP/1.1"" 200 6587 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.792 uct=""0.000"" uht=""0.786"" urt=""0.792"" gz=""10.05"""
78,77,"182.0.132.39 - - [04/Aug/2021:13:33:48 +0700] ""GET /a/3pl/csn/cur/WAX22047?consignmentId=CD7ZMZ99&referenceType=32 HTTP/1.1"" 200 601 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.841 uct=""0.001"" uht=""0.841"" urt=""0.841"" gz=""2.27"""
