id,key_json,value_json
64,63,"{address space usage: 964509696 bytes/919MB} {rss usage: 287797248 bytes/274MB} [pid: 28136|app: 0|req: 51/65] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:42:08 2021] GET /a/3pl/csn?id=AGCTJ9EK&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 48502 bytes in 716 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 6)"
65,64,"{address space usage: 747651072 bytes/713MB} {rss usage: 199573504 bytes/190MB} [pid: 28128|app: 0|req: 4/66] 182.2.135.93 () {56 vars in 1543 bytes} [Wed Aug  4 14:42:08 2021] GET /a/3pl/csn/cur/WAX23515?consignmentId=fe9z5j47&referenceType=64&detail=1 => generated 26001 bytes in 913 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 5)"
66,65,"{address space usage: 964509696 bytes/919MB} {rss usage: 287830016 bytes/274MB} [pid: 28136|app: 0|req: 52/67] 182.0.141.141 () {60 vars in 1904 bytes} [Wed Aug  4 14:42:10 2021] GET /a/query/drpGetLogisticRole?login=WAX22057 => generated 1873 bytes in 21 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 5)"
67,66,"{address space usage: 964509696 bytes/919MB} {rss usage: 287830016 bytes/274MB} [pid: 28136|app: 0|req: 53/68] 182.0.141.141 () {60 vars in 1912 bytes} [Wed Aug  4 14:42:10 2021] GET /a/query/drpGetConsignorByLogin?login=WAX22057 => generated 1144 bytes in 31 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 0)"
68,67,"{address space usage: 964648960 bytes/919MB} {rss usage: 294584320 bytes/280MB} [pid: 28136|app: 0|req: 54/69] 114.5.104.176 () {58 vars in 1506 bytes} [Wed Aug  4 14:42:10 2021] POST /a/3pl/trn/ldl => generated 788 bytes in 88 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 3)"
69,68,"{address space usage: 627191808 bytes/598MB} {rss usage: 191602688 bytes/182MB} [pid: 28120|app: 0|req: 3/70] 223.255.230.52 () {46 vars in 1349 bytes} [Wed Aug  4 14:42:10 2021] GET /a/3pl/csn/cur/WAX24378?consignmentId=lcc5lhbp&referenceType=64&detail=1 => generated 49536 bytes in 944 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 0)"
70,69,"{address space usage: 964648960 bytes/919MB} {rss usage: 294821888 bytes/281MB} [pid: 28136|app: 0|req: 55/71] 182.2.41.143 () {58 vars in 1913 bytes} [Wed Aug  4 14:42:11 2021] GET /a/query/drpGetEmpByEmpId?empcd=55210903&coycd=WAX => generated 595 bytes in 21 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 7)"
71,70,"{address space usage: 814759936 bytes/777MB} {rss usage: 208531456 bytes/198MB} [pid: 28128|app: 0|req: 5/72] 120.188.35.233 () {60 vars in 1914 bytes} [Wed Aug  4 14:42:11 2021] GET /a/query/drpGetLogisticRole?login=WAX23573 => generated 1800 bytes in 136 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 6)"
72,71,"{address space usage: 611110912 bytes/582MB} {rss usage: 172605440 bytes/164MB} [pid: 28104|app: 0|req: 2/73] 120.188.35.233 () {60 vars in 1887 bytes} [Wed Aug  4 14:42:11 2021] GET /a/query/drpGetJenisPenerima => generated 673 bytes in 124 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 3)"
73,72,"{address space usage: 964648960 bytes/919MB} {rss usage: 294825984 bytes/281MB} [pid: 28136|app: 0|req: 56/74] 182.0.141.141 () {60 vars in 1885 bytes} [Wed Aug  4 14:42:11 2021] GET /a/3pl/dash/kpi/courier/WAX22057 => generated 236 bytes in 445 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 2)"
74,73,"{address space usage: 761274368 bytes/726MB} {rss usage: 213467136 bytes/203MB} [pid: 28080|app: 0|req: 5/75] 120.188.35.205 () {60 vars in 1974 bytes} [Wed Aug  4 14:42:11 2021] GET /a/3pl/csn/cur/WAX23555?consignmentId=Fyl9734t&referenceType=64&detail=1 => generated 38427 bytes in 932 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 0)"
75,74,"{address space usage: 964648960 bytes/919MB} {rss usage: 294883328 bytes/281MB} [pid: 28136|app: 0|req: 58/76] 112.215.65.89 () {64 vars in 1188 bytes} [Wed Aug  4 14:42:12 2021] POST /a/auth => generated 567 bytes in 21 msecs (HTTP/1.1 200) 4 headers in 668 bytes (0 switches on core 5)"
76,75,"{address space usage: 964648960 bytes/919MB} {rss usage: 294895616 bytes/281MB} [pid: 28136|app: 0|req: 58/77] 120.188.67.102 () {56 vars in 1424 bytes} [Wed Aug  4 14:42:12 2021] GET /a/3pl/csn?id=6YGDRT9N&detail=1 => generated 28694 bytes in 693 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 6)"
